movie_name,genre,rating
"Nazis: A Warning from History, The",Documentary|War,6
My Friend Ivan Lapshin (Moy drug Ivan Lapshin),Drama,9
Designing Woman,Comedy,8
One Man Band,Animation|Comedy|Musical,5
Barney's Great Adventure,Adventure|Children,6
The Horseplayer,Drama,4
Quest,Animation,9
Get Out Your Handkerchiefs (Préparez vos mouchoirs),Comedy|Drama|Romance,8
Jesus Christ Superstar,Drama|Musical,3
Artois the Goat,Comedy,6
Anita,Documentary,10
"Tempest, The",Comedy|Drama|Fantasy|Romance,2
"Forger, The",Drama,9
Go for It,Action|Adventure|Comedy,3
"Cat and the Canary, The",Comedy|Horror|Mystery,9
Arthur Newman,Comedy|Drama,3
"Return of the Prodigal Son, The (Návrat ztraceného syna)",Drama,8
Balls of Fury,Comedy,2
"24 Hour Woman, The",Comedy|Drama,6
Lilla Jönssonligan och Cornflakeskuppen,Children|Comedy,4
"Incredible Shrinking Man, The",Sci-Fi|Thriller,1
"Spanish Earth, The",Documentary,1
Malone,Action|Drama|Thriller,3
Enola Gay and the Atomic Bombing of Japan,Documentary,5
"Passion of Ayn Rand, The",Documentary|Drama|Romance,1
Can't Buy Me Love,Comedy|Romance,7
"Snake Pit, The",Drama,6
These Girls,Comedy,6
Hello Down There,Comedy|Sci-Fi,3
George Carlin: Life Is Worth Losing,Comedy,7
Street Mobster (a.k.a. Modern Yakuza: Outlaw Killer) (Gendai yakuza: hito-kiri yota),Action|Crime,10
Manito,Drama,5
Star Trek IV: The Voyage Home,Adventure|Comedy|Sci-Fi,4
Possessed (Besat),Action|Crime|Drama|Horror|Thriller,1
Titus,Drama,3
"Robinson Crusoe (Adventures of Robinson Crusoe, The)",Adventure|Drama,2
"Danube Exodus, The",Documentary,10
Lisbon Story,Drama,5
"Order of Myths, The",Documentary,9
Poolhall Junkies,Comedy|Drama|Thriller,5
Cold Moon (Lune froide),Comedy|Drama,1
Barbarian Queen II: The Empress Strikes Back,Action|Adventure|Fantasy,8
Club Paradise,Comedy,4
McCullin,Documentary,5
Gilles' Wife (La femme de Gilles),Drama,6
"Rookie, The",Action|Comedy|Thriller,1
"Day of the Triffids, The",Horror|Sci-Fi,10
"Shadow Dancer, The (Shadows in the Sun)",Comedy|Drama|Romance,1
Bee Season,Drama,9
Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,7
An Evening with Robin Williams,Comedy,5
Fury,Action|Drama|War,3
"Octagon, The",Action,8
Wisegirls,Crime|Drama,8
"Santa Clause, The",Comedy|Drama|Fantasy,5
Deep in the Valley (American Hot Babes),Comedy,8
The Lone Ranger,Western,3
Angels Crest,Drama,4
Operation Pacific,Drama|War,7
"Time Machine, The",Action|Adventure|Sci-Fi,7
Hide and Seek,Horror|Mystery|Thriller,5
Children of Dune,Fantasy|Sci-Fi,5
